project_id,title,description,operating_unit,budget,expense
77975,SIGOB –Fortalecimiento capacidades de gestión Gob Democr,SIGOB –Fortalecimiento de las capacidades de gestión para la gobernabilidad democrática,Panama Regional Center,600000,-99259
126010,Transformational Adaptation to Climate Resilience,Transformational Adaptation to Climate Resilience in Malawi is aimed at reducing the communities' vulnerability to effects of climate variability and strengthened household resilience in Zomba and Machinga districts using the Ecosystem-based approaches,Malawi,600000,138939
126129,Strengthen MSMEs Capacity Improve Competitiveness in VC,"Strengthen MSMEs Capacity to Improve Competitiveness in Domestic, Regional and International Markets for Selected Value Chains",United Republic of Tanzania,600000,7167
125782,Scaling-up Rural Households' Use of Renewable Energy...,Scaling-up Rural Households' Use of Renewable Energy and Energy-Efficient Technology in  Cameroon.,Spcl Unit for South South Coop,598925,94640
124484,Phase 2 Joint GBV Prevention and Response,The programme will respond by strengthening access to and use of GBV services by survivors and groups at risk. Focus will be placed on prevention and response mechanisms.,Zambia,597860,78553
51257,AECI 2008 in support of UNDP ART programme,ART – Territorial Partnerships for Implementing the SDGs at local level-global project implemented through Trust Fund for Innovative Partnerships,PB,596908,354193
110789,Promoting Decent Youth Employment in Cambodia,Promoting Decent Youth Employment in Cambodia: Unpacking the opportunities for the Cambodia’s youth in the new area of Industry 4.0,Cambodia,596886,226750
115077,Poverty Environment Actions-MWI,The project aims to contribute to the following impact: sustainable and inclusive natural,Malawi,596679,269759
87522,Climate change Transport,Intégration du changement climatique dans la stratégie nationale de développement de la compétitivité logistique et dans la mise en œuvre des plateformes logistiques,Morocco,595809,203924
120079,Mujeres Libres de Violencia en el Transporte Publico,"Busca solucionar una problemática que afecta a las mujeres a diario, que es la violencia contra la mujer en el transporte público.",El Salvador,595385,261163
112492,Addressing rights and well-being of,"Addressing rights and well-being of women with disabilities and veterans of the Nagorno-Karabakh conflict is a 0.9 Million USD joint programme funded by the Government of Azerbaijan, and co-funded by UNDP and UNFPA.",Azerbaijan,593260,214438
86819,Accelarating the Development and Commercialization of Fuel Cell Vehicles,Accelarating the Development and Commercialization of Fuel Cell Vehicles in China Project  (PIMS 5349 CC FSP FCV),China,591957,205790
107513,Fondo Italia Adaptación - Agua,Lograr un cambio transformador mediante el abordaje de condiciones habilitantes para que las Contribuciones Nacionalmente Determinadas de adaptación y mitigación se implementen.,Peru,591389,417280
111631,Urban Resilience Programme -Country Investment Facility,"The proposed urban resilience programmme seeks to address SDG 11 - Make cities inclusive, safe and resilient.",Reg Bureau for Africa,591274,115423
85842,Market transformation,Market Transformation and Removal of Barriers for Effective Implementation of the State-Level Climate Change Action Plans,India,591238,303620
114994,Technical Assistance to BIH - Psychiatric clinics,"Provision of technical assistance to Bosnia and Herzegovina government in preparation of loan proposal for reconstruction, construction and furnishing of psychiatric clinics",Bosnia and Herzegovina,590293,70108
107101,URU/18/001 Fortalecimiento de capacidades y mejora de la,URU/18/001 Fortalecimiento de capacidades y mejora de la eficiencia en compras estatales.,Uruguay,589376,531118
115657,Darfur Community Peace and Stability Fund: DCPSF-GPI/18-CIS-INGO-Gender,Multi Partners Trust Fund supporting Peace and Stability in Darfur to restore Trust and Confidence and agreeing on a common and/or collaborative approach on how to address root causes of conflict.,"Sudan, Republic of the",587385,0
123024,Pacific RSD Support,Pacific Resilience and Sustainable Development Support- DFAT Regional Programmes,Fiji,586626,474732
97247,Energy Efficient Standards and Labelling,"The objective of the project is to transform Kazakhstan’s markets to energy efficient appliances and equipment, thereby reducing electricity consumption and GHG emissions",Kazakhstan,586112,319690
107941,Desarrollo de Sistemas de Información Geográfica Registrales Mineros Provinciales y Nacional para la gestión de información y de concesiones en tiempo real.,Desarrollo de Sistemas de Información Geográfica (GIS) Registrales Mineros Provinciales y Nacional para la gestión de información y de concesiones en tiempo real.,Argentina,585990,152002
80840,Energy Efficiency and Renewable Energy for Sustainable W,Energy Efficiency and Renewable Energy for Sustainable Water Management in Turkmenistan,Turkmenistan,585909,275750
112860,PADIT SANCTI SPIRITUS,Plataforma Articulada para el Desarrollo Integral Territorial en la Provincia de Sancti Spiritus.,Cuba,584307,35747
50910,Renforcement Capacités de l'Ecole de Maintien de la Paix,"Ce projet vise à renforcer les capacités institutionnelles et opérationnelles de l'Ecole de Maintien de la Paix ""Alioune Blondin Beye de Bamako (EMP)",Mali,584203,233554
115035,Poverty Environment Action for SDGs (PEA),Poverty Environment Action for SDGs,Rwanda,583181,335290
102189,Alternative Dispute Resolution-EU,The project aims to promote enhanced use and quality of arbitration and mediation in Georgia through strengthening capacities of relevant institutions.,Georgia,582778,294710
100592,Phase II - Rule of Law and Human Rights Programme,"Strengthening Rule of Law and Human Rights to Empower people in Tajikistan' project, Phase II",Tajikistan,582568,235190
125722,Spotlight initiative in Haiti,"Le programme pays spotlight Haiti 2020-2023 est partenariat entre le Gouvernement d'Haiti, les Nations Unies et l'Union Europeenne. Ce programme vise à protéger les femmes et les filles contre les violences familiales basées sur le genre.",Haiti,580357,111686
98682,"HCFC Phase-out Mgmt Plan II, RAC Service Sector (HPMP 2)",Hydrochlorofluorocarbons Phase-out Management Plan (HPMP) Stage II - Refrigeration and AC Service Sector and Fire Fighting Sector,Indonesia,580305,367048
48025,Mainstreaming Green Environmental Development,Enhancing BIH Environmental Policies planning by introducing and developing local environmental and energy action plans,Bosnia and Herzegovina,578211,234032
105395,Climat AT&RC Développement Durable Inclusif,Projet d’Assistance Technique et de Renforcement des Capacités pour un Développement Durable inclusif et résilient aux Changements Climatiques,Morocco,577000,255751
88890,Peer to Peer support for Humanitarian Leaders,"Support HC and HCTs through mandatory Operational Peer Review (OPR) missions in L3 crises, and peer support missions to non-L3 crises.(note: Project title changed in 2017 from STAIT: Strengthening effectiveness of humanitarian aid)",Crisis Response Unit,576446,111789
123429,Accès à la justice à Médenine,Projet d’amélioration de l’accès à la justice dans le gouvernorat de Medenine.,Tunisia,576422,307840
120690,EMBRACE - Enable and Manage more Beneficial Civil Societ,Enable and Manage more Beneficial Civil Society (EMBRACE) - to support social development through improved civil society organisations' (CSO) service delivery.,Bosnia and Herzegovina,575232,370830
125773,Adaptable Digitally Enabled Post-disaster Transformation (ADEPT),"The Adaptable Digitally Enabled Post-disaster Transformation (ADEPT) Project aims to demonstrate the feasibility of a digitally-enabled, end-to-end solution for expedited disaster recovery and resilience of affected communities.",Philippines,574443,253769
110559,SOLUCIONES INGENIERAS MALECON,FEASIBILITY STUDY OF CENTRAL COASTAL FRONT OF THE CITY OF HAVANA: ADAPTATION PROPOSALS TO ADDRESS CLIMATE CHANGE: SOLUCIONES INGENIERAS MALECÓN HABANERO,Cuba,573610,1847
91070,Enhancing Gender Equality & Mainstreaming in Afghanistan,"Enhancing Gender Equality & Mainstreaming in Afghanistan (EGEMA) project, supported by the United Nation Development Programme UNDP Afghanistan",Afghanistan,573435,297553
94738,Fortalecimiento Institucional Seguro Nacional de Salud,"Aumentar el alcance de servicios de salud que ofrece SeNaSa a partir del equipamiento institucional y, desarrollo de estrategias/procesos de gestión del conocimiento sobre el impacto de las intervenciones en la salud integral para el desarrollo nacional.",Dominican Republic,573000,915688
66813,Climate Resilient Green Economy Programm.,Promoting inclusive low emission climate resilient green economy in Ethiopia  through Ethiopian Climate Resilient Green Economy initiatives Support programme,Ethiopia,572501,76065
113629,UNDP SDGs Innovation Pilot Project,UNDP Innovation project initiated with China International Center for Economic and Technical Exchanges (CICETE) and Chengdu High Tech Government on establishing innovation platform in Chengdu.,China,572000,3673
107234,Poverty Alleviation and Sustainable Development in China,"This project tries to overcome the current weakness of poverty reduction, by promoting and open platform for poverty alleviation programs and using this platform to support the endogenous and participatory process, community based farmers cooperatives.",China,571309,351374
115540,Estrategia Reconversion Productiva,"Estrategia de Reconversión Productiva del Corredor Minero del Cesar para generar espacios de dialogo a través del desarrollo de acciones concretas para promover la participación de actores locales, regionales y nacionales.",Colombia,570983,187342
97249,De-risking Renewable Energy Investment,The objective of the project is to promote private sector investment in renewable energy in Kazakhstan to achieve Kazakhstan’s 2030 and 2050 targets for renewable energy. The project targets both large-scale and small-scale renewable energy,Kazakhstan,569724,257638
90776,Promotion de la production durable de biomasse électricité au Bénin.,The objective of this project is to promote electricity generation through gasification of waste agricultural residues (biomass) to supply both the main grid and isolated mini-grids.,Benin,568520,524192
115476,UN Joint Programme | End Violence Against Women,"The UN Joint Programme aim at bringing institutional and behavioral change in preventing and responding to GB-VAW, contributing to freeing women and girls from all forms.",Albania,568150,348923
118431,Border Security Management for Small Arms Control and,"Strengthen cross border engagements to promote peace and reduce armed conflicts, by addressing Small Arms proliferation in border communities.",Nigeria,567749,224172
106437,Fomento PyMES RDigital,"Promovidas acciones de fortalecimiento de los mecanismos de apoyo a las Pymes, para el cierre de la brecha digital a través de iniciativas de coordinación de servicios empresariales públicos y privados.",Dominican Republic,567500,511029
127024,COVID19 - CABO VERDE RESPONSE,COVID19 - CABO VERDE RESPONSE,Cape Verde,567500,544370
120213,Empowered youth for peaceful Tajikistan,The project aims to prevent risks of radicalization (that leads to violence) and mitigate future risks of violent extremism,Tajikistan,567180,76576
109897,Support to Security Sector Reform,"Security Sector Reform aims to create a secure environment that is conducive to development, poverty reduction, good governance and rule of law.","Moldova, Republic of",566494,365499
83239,PROCESO DE FORTALECIMIENTO DE CAPACIDADES DEL GOBIERNO DE ARTEMISA,LA GESTIÓN ESTRATÉGICA Y SU INCIDENCIA EN EL DESARROLLO LOCAL EN APOYO AL PROCESO DE FORTALECIMIENTO DE CAPACIDADES DEL GOBIERNO DE ARTEMISA.,Cuba,566323,187685
116187,Digital Financial Services in Sierra Leone,Digital Financial Services in Sierra Leone.,Spcl Unit for South South Coop,566100,284922
104259,National Adaptation Plan (NAP),Development of sector-driven National Adaptation Plan (NAP) to advance medium and long-term climate change adaptation planning in Uzbekistan,Uzbekistan,565778,0
107700,Response to the humanitarian emergency for populations displaced by conflicts (DRC-FH5/EHA4 NGO's 2017),"Allocation Urgence Octobre 2017 - Analyse des hotspots (Nord Kivu, Sud Kivu, Haut-Katanga, Kasaï, Tanganyika)",Democratic Republic of Congo,565626,562320
126499,Social stabilisation and prevention of radicalisation,"The project aims to provide several crucial areas of support such as literacy training, technical and managerial training and elaboration of transparent and accurate financial statement to establish autonomous IGA groups in Lobaye District.",Central African Republic,564050,23443
119293,Promoting Sustainable and Inclusive Development,"Ghana has completed the 4-year ECF programme with the IMF (initially 2015-2017 and later extended to 2018), which contributed to significant improvements in fiscal and trade balances,",Ghana,561979,412201
64911,Eliminacion consumo gases Hidroclorofluorocarbonos,"COS/PHA/64/INV/45  - Eliminación del consumo de Hidroclorofluorocarbonos (HCFC) en espuma de poliuretano para la fabricación de refrigeradores domésticos en Costa Rica, e implementación de la primera fase del plan de manejo terminal de HCFC (HPMP)",Costa Rica,561831,171237
103964,Eficiencia Energetica en Sector Hotelero,"El objetivo del proyecto  es eliminar las barreras para el mayor uso comercial del equipo eléctrico mas eficiente en la industria de hoteles pequeños y medianos de Honduras, en linea con la Estrategia Nacional para el turismo sostenibl",Honduras,561767,160078
90780,Cross-Cutting Capacity Development (CCCD) - Full,Medium Size Project of Capacity Development for Implementing Rio Conventions through Enhancing Incentive Mechanisms for Sustainable Watershed/Land Management,Indonesia,561436,360510
105290,BRA/18/013 - Territorialização e Aceleração dos ODS,"Promover a formação cidadã e a ampliação das capacidades locais para o desenvolvimento territorial sustentável, por meio das estratégias de Territorialização da Agenda 2030 e Aceleração para alcance dos ODS,  em municípios onde a Petrobras atua.",Brazil,561436,376663
117249,USAID SUPPORT TO AID MANAGEMENT&COORDINATION IN SOMALIA,The purpose of this joint UNDP–Integrated office project is to support the implementation of the New Partnership for Somalia (NPS) and National Development Plan (NDP)through strengthening national capacities for effective aid management and coordination,Somalia,561236,172854
118381,Tackling illegal maritime activities,"The aim is to support the Government of Tanzania in coordinating their maritime safety and security activities, to enhance the response to IUU fishing, maritime pollution, illicit trafficking, and to provide economic security to coastal communities.",United Republic of Tanzania,560500,12701
127108,COVID-19 Project,COVID-19 Rapid Response Facility & TRAC2,Malaysia,559968,396724
126939,Botswana COVID - 19 Rapid Response Plan,"On 31 March 2020, the Republic of Botswana transitioned from the prevention phase to the prevention and containment phase of its Covid-19 response.",Botswana,559490,347195
113770,Amélioration de l'Accueil Service Public Phase II,Ce projet consiste à élargir l’expérimentation de la méthodologies d’amélioration de l’accueil des services publics ruraux et urbains à partir d’un audit des services et d’une enquête auprès des usagers afin de mettre à niveau les sites pilotes.,Morocco,557500,656709
126073,Support for Strengthening Climate Change,The Federal Government of Somalia (FGS) has committed to establishing a national climate change adaptation planning framework to serve as a baseline and to guide future climate change adaptation policies and projects.,Somalia,557168,0
91871,Mainstreaming Human Rights,The activities will be multi-dimensional ensuring full coverage and support of the necessary areas to ensure effective human rights mainstreaming and UPR implementation.,Eritrea,557126,302572
94503,Electoral Support Phase III,Support to achieve an enhanced transparency and inclusiveness of the electoral process in Moldova by ensuring a more independent and credible electoral administration and better informed and pro-active citizens.,"Moldova, Republic of",556331,495804
120521,The Aswan Forum for Sustainable Peace and Development,"The project is to launch the Aswan Forum for Sustainable Peace and Development, which will provide the first of its kind platform to address the inseparable issues of “sustaining peace” and “sustainable development” in Africa.",Egypt,555567,548556
86990,PIMS 5243: De-risking Renewable Energy (NAMA),De-risking renewable energy (Nationally Appropriate Mitigation Action) for the Nigerian power sector,Nigeria,555500,372772
103745,"PROGRAM TO SUPPORT EMPLOIMENT, EMPLOYABILITY & INSERTION","Le Programme vise contribuer  renforcmnt de l’emploi, l’employabilité et de l’insertion des jeunes, candidats à la création de MPME ou à l’emploi salarié dans la tranche des 15/35 ans, via consolidation du système de formation profes. et d’insertion",Cape Verde,555356,167432
47419,Water Resources Management,Improved Water Resources Management and Drinking Water Safety in Rural Regions of China,China,554345,282287
113526,Parliamentary Support-3/EU,"Project title: ""Consolidating Parliamentary Democracy in Georgia"". 
The project focuses on consolidating new system of parliamentary democracy in the country.",Georgia,554240,457553
105607,PIMS 5720: Sound Management of PCB in Nigeria,Environmentally Sound Management and Disposal of PCBs and PCB Equipment in Nigeria.,Nigeria,553850,99980
126346,District Development Planning Project for Cox’s Bazar,District Development Planning Project for Cox’s Bazar.,Bangladesh,553706,152059
123842,UNDP RESPONSE TO THE CRISIS IN DJIBOUTI,Three days of torrential rain has created unprecedented inundation in the city of Djibouti and across the country.,Djibouti,553536,438677
31497,BERA Japan Partnership Team,"Strengthen partnerships with Japan. Japan Unit's staff salary, consisting in individual outputs per position",PB,553420,342216
128342,Installation Pompes Solaires,Amélioration de l’Accès à l’eau à travers l’installation de système de pompages solaires,Haiti,553394,26011
116471,Seychelles Ridge to Reef Project,"A Ridge to Reef approach for Integrated Management of Marine, Coastal and Terrestrial Ecosystems in Seychelles",Seychelles,553246,112464
126922,Recuperación y protección social de pueblos indígenas,UNDP COVID-19 Rapid Response Facility Resources for L3 COVID-19 Crisis,Peru,553180,314446
83861,GEF 5-Environment Agreement Management Capacity Building,Implementation Capacity Development for improved management of Multilateral Environmental Agreements for global environmental benefits,Trinidad and Tobago,553059,81656
72484,Disaster Risk Reduction in PAK,"Supporting Community Resilience through followings:
a) Reducing losses from disasters (DRR)
b) improving response to disasters (DM)
c) strengthening the learning base on DRR and DM",Pakistan,552255,416811
77787,Pensamiento Estrategico,"Apoyar a la Vicepresidencia de RD, en su calidad de coordinación del Gabinete Social del país, en la identificación de herramientas, mecanismos y opciones de políticas públicas con miras a optimizar el Sistema de Protección Social del país.",Dominican Republic,552000,446365
99619,Kosovo Missing persons initative to increase stability,Support the Governments of Kosovo and Serbia on dealing with the past and missing persons,Kosovo (As per UNSCR 1244),550496,268453
72516,Support to national and local resilience building,Eritrea-Support to national and local resilience building initiatives,Eritrea,550000,320880
114749,Creative Montenegro,‘Creative Montenegro - Economic Valorisation and Creative Industries’ will foster economic revitalisation through the restoration of cultural heritage and the promotion of cultural and artistic creativity through development of creative industries.,Montenegro,549505,270923
49636,Electoral Support Project (ESP),Institutional Strengthening and Professional Development Support for the Election Commission of Nepal,Nepal,549378,475079
117368,RCO Coordination Project,Resident Coordinator Office - Coordination Project created to implement coordination activities in Colombia. Through this project RCO expects to develop activities under RCO mandate.,Colombia,548982,0
109316,Innovative Solutions for SDG Implementation in Armenia,"The project aims at accelerating the implementation of the Sustainable Development Goals (SDGs) at the country level in collaboration with the government, civil society and private sector.",Armenia,548951,438576
34607,COMMON SERVICES ACCOUNT,COMMON SERVICES ACCOUNT,Democratic Republic of Congo,546834,322859
27113,Management Plan,Management Plan,Senegal,546375,184493
125545,Cross Border Phase 2,"The proposed project is closely aligned with national frameworks in Côte d’Ivoire and Liberia, both with respect to social cohesion and with border security and efforts in implementing ECOWAS Free Movement Protocols.",Liberia,546000,235144
79500,Fort. de parti. ciudadana y gob. ambiental 2014-2018,Fortalecimiento de la participación ciudadana y gobernanza ambiental para la sustentabilidad (2014-2019),Mexico,545922,104725
111827,UNDP-Slovakia Partnership for Effective DevCoop for SDGs,The project will further build capacity and visibility of the Slovak ODA stakeholders and create enabling environment for private sector engagement in support of more effective and efficient Slovak ODA assistance.,Regional Center – Istanbul,545288,234497
89759,Protected Areas Financial Sustainability,Title of the project per project document: Enhancing Financial Sustainability of the Protected Areas system in Georgia,Georgia,544705,259134
92855,Supporting climate resilient livelihoods in agriculture,Supporting climate resilient livelihoods in agricultural communities in drought-prone areas of Turkmenistan,Turkmenistan,544307,296473
87518,Growing Green Business in Montenegro,Create favorable business climate and conditions for private sector investment in low-carbon and other environmentally-friendly businesses in Montenegro,Montenegro,543965,123230
88837,Seychelles Protected Area Finance Project,Seychelles’ Protected Areas Finance Project,Seychelles,543110,116505
39145,Management Plan,Management Plan,Venezuela,542916,510951
98805,Apoyo al fortalecimiento y ampliación de políticas estratégicas de la Agecia Nacional de Materiales Controlados,"Apoyo al fortalecimiento y ampliación de políticas estratégicas de la ANMaC: Prevención de la Violencia Amada, Desarme Civil Voluntario, Destrucción de Materiales Controlados y Regularización de Legítimos Usuarios Individuales, en el Territorio Nacional.",Argentina,542582,84552
97177,IAP Chaco - Producción,Este proyecto tiene como objetivo integrar la conservación de la biodiversidad y el manejo sostenible de la tierra en prácticas de producción de ganado en el Chaco,Paraguay,542547,276696
80724,National Adaptation Plan (NAP),National Adaptation Plan (NAP Readiness) - To prepare National Adaptation Plan for Bhutan with focus on the water sector,Bhutan,542354,171038
122912,Nat. response to sex. transmission of HIV,Behavior change communication actions; Reduce HIV infection and mortality rate of PLWHA,Spcl Unit for South South Coop,542206,290731
105603,Trade Capacity Building Project,Strengthening  institutional capacities to formulate and implement trade related policies; mainstreaming of trade across various sectors of the economy; coordinate and engage stakeholders in trade development efforts.,"South Sudan, Republic of",541688,101787
107402,Joint UN Centre for HR,Joint UN Centre for HR,Office of Human Resources,541600,356232
89766,PROARGENTINA Promoción Comercio Internacional,El objetivo del programa es mejorar la inserción de las Pequeñas y Medianas Empresas (PyMEs) en el mercado exportador.,Argentina,540054,34662
42633,Management Plan,Management Plan project the project is created to manage in ATLAS the UNDP PAPP operational activities including cost of staffing and operational costs.,Prog for Palestinian People,540000,362879
123690,PIP - Developing National Circular Economy Strategy,Supporting Indonesia in developing a National Circular Economy Strategy – 1st Phase,Indonesia,540000,217740
86265,Access and Benefit-Sharing Framework,Consolidate actions to conserve and sustainably use genetic resources and related traditional knowledge in Algeria through the development and implementation of a national strategy and legal and institutional framework on access and benefit-sharing,Algeria,539487,136840
126892,Projet Secrétariat : PBF/HTI/A-2 Appui a la Coordination,"""Le projet vise la création du Secrétariat PBF pr RCO, appui à la mise en œuvre et le suivi & évaluation du portefeuille PBF, le renforcement des capacités du Comité d’orientation stratégique UNDAF, avec l’appui du Comité de pilotage de PUNDAR.""",Haiti,539280,0
95007,"La articulación de actores y la gestión de los procesos asociados al desarrollo local en la provincia Holguín, en el marco de Plataforma Articulada para el Desarrollo Integral Territorial en
Cuba (PADIT)",ARTICULACION DE ACTORES Y GESTION DE PROCESOS ASOCIADOS AL DESARROLLO LOCAL EN LA PROVINCIA DE HOLGUIN EN EL MARCO DE LA PLATAFORMA ARTICULADA PARA EL DESARROLLO INTEGRAL TERRITORIAL EN CUBA (PADIT),Cuba,538080,314454
122623,Accelerator Lab - Colombia,"Los AccLab del PNUD son una nueva oferta de servicios que busca colaborar internamente con los proyectos del PNUD y externamente con las personas, los gobiernos y el sector privado para reformular el concepto de desarrollo para el siglo XXI.",Colombia,537812,275137
100437,NAMA on Integrated Waste Management and Biogas in Uganda,"This project aims to provide environmental benefits and reduce greenhouse gas emissions from improper and inadequate management and treatment of wastewater and organic waste in towns, municipalities and agro-processing industry in Uganda.",Uganda,537506,80310
127646,NextGen Recovery Solutions and Human Mobility,"The NextGen RS&HM GP will offer integrated solutions to addressing existing technical, programme and policy expertise, 1) Migration and Displacement, 2) Livelihoods & Economic Recovery, and 3) Mine Action",Crisis Response Unit,537191,9720
122276,"POPs, Mercury and other Hazardous Chemicals","Environmentally Sound Management of POPS, Mercury and other Hazardous Chemicals in Argentina",Argentina,536750,0
113560,Visión Quito 2040,Implementación de la Visión Quito 2040,Ecuador,536520,247935
107100,URU/18/003 Apoyo a las politicas de primera infancia en,URU/18/003 Apoyo a las políticas de primera infancia en Uruguay,Uruguay,536330,391299
103707,Descentralización Persecución Penal Estratégica,Desarrollo e implementación de métodos y herramientas institucionales en el Ministerio Publico para la persecución  penal estratégica,Guatemala,535892,535907
97390,Country programme document Implementation Support & Monitoring Project,Programme/project Implementation and support activities for development projects.,Bahrain,535000,410132
127040,Bridging the skills gap to create new and better jobs,"The project will support the MES in setting a system of adequate and flexible education and training (formal post-secondary and non-formal VET) to address the needs for higher quality jobs in two sectors, textile and construction.",North Macedonia,534720,132339
57794,Programme Development including Resource Mobilization,"This is a management project to support development of CPD, projects and other programmes to be implemented by UNDP CO and/or implementing partners in Iran","Iran, Islamic Republic of",534254,98260
87660,Climate Smart Urban Development,"Engage civil society, public and business communities to come up with innovative ideas on how to develop, finance and implement climate smart projects",Serbia,533048,238016
76994,Strengthening the Marine Protected Area System to Conser,"Strengthening Marine Protected Area System to Conservation (MPA) with the following sites  TSPS, Davao Gulf, Lanuza Bay, Southern Palawan and Verde Island Passage",Philippines,532189,477617
33710,Engagement Facility,"Development Assistance Service (DAS) for youth engagement, entrepreneurship, and income generating activities",Egypt,531537,368393
42407,Management Plan,Management Plan - Administrative Management Support to enable Effective Programme Implementation,"Sudan, Republic of the",531516,166517
86015,TV Ridge to Reef,"The Tuvalu GEF 5 STAR R2R project’s objective is “to preserve ecosystem services, sustain livelihoods and improve resilience in Tuvalu using a ‘ridge-to-reef’ approach”.",Tuvalu,531514,326807
103906,"Lutte contre l'Impunité des violences sexuelles et autres formes de violences basées sur le genre, appui à l’autonomisation des survivantes en République Centrafricaine",L’objectif général du projet est de Contribuer à augmenter la répression des violences sexuelles et autres formes de violences basées sur le genre en RCA.,Central African Republic,529894,285349
92265,SOI: Rural Electrification (SPIRES),Project’s objective is the facilitation of the achievement of increased access to electricity in rural communities in the Solomon Islands.,Solomon Islands,528463,0
115688,BRA/18/026  - Algodão Sistema Registro Agrotóxicos,Melhoria da efetividade e transparência dos sistemas de registro de agrotóxicos dos países da América latina e Caribe.,Brazil,528000,176181
80742,Grid Connected Small-Scale Photovoltaic Systems (PVs),"The objective of the project is to remove the barriers to increased power generation by small, decentralized, grid-connected PV systems implemented by households and small- and medium-size enterprises.",Egypt,526914,303101
98696,Appui au Secrétariat Technique du Fonds,Appui au Secrétariat Technique du Fonds pour la consolidation de la Paix à Madagascar,Madagascar,526401,426116
104449,UNDP Business Solutions for the SDGs,The BERA Engagement Facility aims to facilitate the promotion of UNDP’s Business Solutions for the SDGs that Maximize private sector engagement in accelerating progress towards the SDGs.,PB,525352,377249
125398,Gestion durable biodiversité,Appui à la gestion durable de la biodiversité et des aires protégées par le renforcement de la résilience des écosystèmes et une utilisation concertée et convenable des ressources et des espaces,Niger,525000,482177
127279,"COVID-19 Preparedness, Response and Recovery","Strengthening COVID-19 Preparedness, Response and Recovery in Cook Islands, Niue, Samoa and Tokelau",Samoa,524310,468052
74639,Appui au renforcement de la cohésion sociale et promo DS,Le projet d’appui au renforcement de la cohésion sociale et à la promotion d’un dialogue national au Mali vise le renforcement de l’adhésion des citoyen(ne)s à la paix et à la cohésion sociale.,Mali,524301,445380
89398,Support to Riyadh Urban Observatory,Support to Riyadh Urban Observatory to maintain production of urban indicators and strengthen evidence-based policy making.,Saudi Arabia,523744,120865
92644,Fortalecimiento para la rectoría de la política social,Fortalecimiento Institucional para la rectoría de la Política Social (Ministerio de Desarrollo Social),Panama,523637,112449
125634,Modernizacion y Fortalecimento del Banco Hipotecario,Apoyo al Modernizacion y Fortalecimento de la Gestion del Banco Hipotecario,Panama,522500,6738
121996,DOMESTIC WASTE AND PLASTIC,"Effective solid waste management and reduction of marine plastics are essential for environmental and ocean protection as well as for sustainable dev. as a whole.This project will implement in five sites: Ha Long, Quy Nhon, Mui Ne, Binh Duong and Da Lat.",Viet Nam,522288,259424
97216,"Irrigation and drainage in Kazakhstan,capacity building","Irrigation and drainage in South Kazakhstan,capacity building and awareness raising",Kazakhstan,521848,150192
122795,Enhancing Social and Economic Opportunities for Youth,The project enhances national policies and youth-related programmes which could provide socio-economic opportunities to young people to reach their potentials so that the country will greatly benefit from its large young working population,Lao People's Democratic Republ,521039,105178
116194,BRA/19/005 - GCF REDD+ Brazil,BRA/19/005 - REDD+ results-based payments for results achieved by Brazil in the Amazon biome in 2014 and 2015,Brazil,520498,29265
114357,PIP - Recovery Asst. for Lombok & Cntr Sulawesi (REALS),Project Initiation Plan for Recovery Assistance for Lombok and Central Sulawesi. Project will assist GoI to deliver interventions for early recovery needs and develop long-term recovery support initiatives.,Indonesia,518293,167661
106385,"“Being Lesbian, Gay, Bisexual, and Transgender (LGBTI) in the Caribbean: Reducing Inequality & Exclusion Experienced by LGBTI People in Barbados, Dominican Republic, Haiti and Jamaica”.","“Being LGBTI in the Caribbean: Reducing Inequality & Exclusion Experienced by LGBTI People in Barbados, Dominican Republic, Haiti and Jamaica”.",Panama Regional Center,517742,298858
124733,Community-based Social Services,Improving the system of social protection through the introduction of inclusive quality community-based social services,Turkmenistan,516044,266270
71181,Enhancing Inclusive Growth in South Africa,"To contribute to the government’s efforts for enhancing inclusive growth through programmatic interventions that support the realization of government’s national development outcomes and its long-term, National Development Plan: Vision for 2030.",South Africa,513686,114809
88189,COMMON AND SHARED SERVICES,GCOMMON SERVICES-UN HOUSE&VSAT,Guinea,512953,488489
122782,Spotlight Initiative- Jamaica,The Spotlight Initiative in Jamaica will contribute to transforming the society where women and girls can live free from family violence.,Jamaica,511538,137901
110251,Engagement Facility,"Engagement Facility is a rapid and flexible response mechanism to support such actions as upstream policy results, evaluation and assessments, testing of innovations with scale-up potential.",Armenia,510882,286048
88358,"Conservación, uso sostenible de la Biodiversidad",Conservación de Biodiversidad y servicios ecosistémicos en humedales protegidos de importancia internacional,El Salvador,510020,343898
113237,Contribuciones Nacionales al Cambio Climático,El Proyecto Contribuciones Nacionales al Cambio Climático busca apoyar al Paraguay para lograr transformar éstas contribuciones nacionales en acciones tangibles que lideren a largo plazo el desarrollo cero en carbono y climático-resiliente,Paraguay,510007,75306
124181,Integrando Ordenamiento Territorial y Gestión del Riesgo,Fortalecer la gobernanza a través de la articulación del ordenamiento territorial y la gestión del riesgo de desastres como estrategia de desarrollo.,Peru,509548,148965
103705,SOUTIEN AU CYCLE ELECTORAL,"L’objectif ultime de ce projet est de contribuer à la tenue d’élections crédibles, transparentes, pacifiques et inclusives en 2018 et ainsi créer un environnement propice pour la consolidation de la paix et de la démocratie dans le pays.",Madagascar,509228,581933
